New Castle County Libraries,Public,New Castle County Libraries,https://librarytechnology.org/library/1653,77 Read's Way,,New Castle,Delaware,19720,New Castle,,https://www.newcastlede.gov,http://ilsapp.lib.de.us/uhtbin/cgisirsi/x/x/0/49/,"Diana J. Brown, Community Services Manager",Publicly funded and managed,"421,887 residents","749,185 volumes","3,584,426 transactions",Symphony (2010),"Horizon (until 2002), Dynix (until 1994)",Delaware Library Catalog,,,DE0046,DE0046,1653,07-Nov-97,25-Mar-23,,https://librarytechnology.org/libraries/public.pl?State=Delaware,Delaware,https://librarytechnology.org/library/1653,United States,"New Castle County Librariesis aPubliclibrary.This library is affiliated withNew Castle County Libraries(view map)
.  
The collection of the library contains749,185volumes. The library circulates3,584,426items per year. The library serves a population of421,887residents .","This listing was created on Nov 7, 1997 and was last modified on Mar 25, 2023.",This is a publicly funded and managed library.
Bridgeville Public Library,Public,"Bridgeville, DE",https://librarytechnology.org/library/12244,600 South Cannon Street,,Bridgeville,Delaware,19933,Sussex,302-337-7401,https://www.bridgevillelibrary.com,http://ilsapp.lib.de.us/uhtbin/cgisirsi/x/x/0/49/,Karen Johnson,Publicly funded and managed,"8,255 residents","23,484 volumes","63,443 transactions",Symphony (2005),Dynix (until 1997),Delaware Library Catalog,,,DE0023,DE0023-002,12244,09-Dec-04,10-Apr-25,,https://librarytechnology.org/libraries/public.pl?State=Delaware,Delaware,https://librarytechnology.org/library/12244,United States,"Bridgeville Public Libraryis aPubliclibrary.This library is affiliated with the library system that servesBridgeville, DE.  
The collection of the library contains23,484volumes. The library circulates63,443items per year. The library serves a population of8,255residents .","This listing was created on Dec 9, 2004 and was last modified on Apr 10, 2025.",This is a publicly funded and managed library.
Frankford Public Library,Public,Frankford Public Library,https://librarytechnology.org/library/12246,8 Main Street,,Frankford,Delaware,19945,Sussex,302-732-9351,https://frankford.lib.de.us,http://ilsapp.lib.de.us/uhtbin/cgisirsi/x/x/0/49/,Elizabeth Hamilton,Publicly funded and managed,"7,487 residents","12,411 volumes","28,692 transactions",Symphony (2005),Dynix (until 1997),Delaware Library Catalog,DS2,8950,DE0002,DE0002-002,12246,09-Dec-04,25-Mar-23,,https://librarytechnology.org/libraries/public.pl?State=Delaware,Delaware,https://librarytechnology.org/library/12246,United States,"Frankford Public Libraryis aPubliclibrary.This library is affiliated withFrankford Public Library(view map)
.  
The collection of the library contains12,411volumes. The library circulates28,692items per year. The library serves a population of7,487residents .","This listing was created on Dec 9, 2004 and was last modified on Mar 25, 2023.",This is a publicly funded and managed library.
Dover Public Library,Public,"Dover, DE",https://librarytechnology.org/library/2870,45 South State Street,,Dover,Delaware,19901,Kent,302-736-7030,https://www.doverpubliclibrary.org,http://ilsapp.lib.de.us/uhtbin/cgisirsi/x/x/0/49/,,Publicly funded and managed,"59,354 residents","99,273 volumes","407,611 transactions",Symphony (2005),,Delaware Library Catalog,,,DE0029,DE0029-002,2870,11-Sep-98,25-Mar-23,,https://librarytechnology.org/libraries/public.pl?State=Delaware,Delaware,https://librarytechnology.org/library/2870,United States,"Dover Public Libraryis aPubliclibrary.This library is affiliated with the library system that servesDover, DE.  
The collection of the library contains99,273volumes. The library circulates407,611items per year. The library serves a population of59,354residents .","This listing was created on Sep 11, 1998 and was last modified on Mar 25, 2023.",This is a publicly funded and managed library.
Delmar Public Library,Public,"Delmar, DE",https://librarytechnology.org/library/12245,101 North Bi-State Boulevard,PO Box 308,Delmar,Delaware,19940,Sussex,302-846-9894,https://delmar.lib.de.us,http://ilsapp.lib.de.us/uhtbin/cgisirsi/x/x/0/49/,Susan Upole,Publicly funded and managed,"6,049 residents","19,241 volumes","64,297 transactions",Symphony (2005),Dynix (until 1997),Delaware Library Catalog,,,DE0028,DE0028-002,12245,09-Dec-04,25-Mar-23,,https://librarytechnology.org/libraries/public.pl?State=Delaware,Delaware,https://librarytechnology.org/library/12245,United States,"Delmar Public Libraryis aPubliclibrary.This library is affiliated with the library system that servesDelmar, DE.  
The collection of the library contains19,241volumes. The library circulates64,297items per year. The library serves a population of6,049residents .","This listing was created on Dec 9, 2004 and was last modified on Mar 25, 2023.",This is a publicly funded and managed library.
Laurel Public Library,Public,Laurel  (DE) Public Library,https://librarytechnology.org/library/12248,101 East 4th Street,,Laurel,Delaware,19956,Sussex,302-875-3184,https://laurel.lib.de.us,http://ilsapp.lib.de.us/uhtbin/cgisirsi/x/x/0/49/,Gail Bruce,Publicly funded and managed,"14,728 residents","49,647 volumes","89,823 transactions",Symphony (2005),Dynix (until 1997),Delaware Library Catalog,,,DE0009,DE0009-002,12248,09-Dec-04,10-Apr-25,,https://librarytechnology.org/libraries/public.pl?State=Delaware,Delaware,https://librarytechnology.org/library/12248,United States,"Laurel Public Libraryis aPubliclibrary.This library is affiliated withLaurel  (DE) Public Library(view map)
.  
The collection of the library contains49,647volumes. The library circulates89,823items per year. The library serves a population of14,728residents .","This listing was created on Dec 9, 2004 and was last modified on Apr 10, 2025.",This is a publicly funded and managed library.
Milford Public Library,Public,"Milford, DE",https://librarytechnology.org/library/12250,11 S. E. Front Street,,Milford,Delaware,19963,Sussex,302-422-8996,https://www.kentnet.org,http://ilsapp.lib.de.us/uhtbin/cgisirsi/x/x/0/49/,Kay Hudson,Publicly funded and managed,"25,293 residents","41,472 volumes","304,459 transactions",Symphony (2005),Dynix (until 1997),Delaware Library Catalog,,,DE0011,DE0011-002,12250,09-Dec-04,10-Apr-25,,https://librarytechnology.org/libraries/public.pl?State=Delaware,Delaware,https://librarytechnology.org/library/12250,United States,"Milford Public Libraryis aPubliclibrary.This library is affiliated with the library system that servesMilford, DE.  
The collection of the library contains41,472volumes. The library circulates304,459items per year. The library serves a population of25,293residents .","This listing was created on Dec 9, 2004 and was last modified on Apr 10, 2025.",This is a publicly funded and managed library.
Harrington Public Library,Public,Harrington (DE) Public Library,https://librarytechnology.org/library/12255,110 Center Street,,Harrington,Delaware,19952,Kent,302-398-4647,https://harrington.delaware.gov,http://ilsapp.lib.de.us/uhtbin/cgisirsi/x/x/0/49/,Christine Hayward,Publicly funded and managed,"11,975 residents","19,614 volumes","45,981 transactions",Symphony (2005),Dynix,Delaware Library Catalog,HRG,8952,DE0005,DE0005-002,12255,09-Dec-04,10-Apr-25,,https://librarytechnology.org/libraries/public.pl?State=Delaware,Delaware,https://librarytechnology.org/library/12255,United States,"Harrington Public Libraryis aPubliclibrary.This library is affiliated withHarrington (DE) Public Library(view map)
.  
The collection of the library contains19,614volumes. The library circulates45,981items per year. The library serves a population of11,975residents .","This listing was created on Dec 9, 2004 and was last modified on Apr 10, 2025.",This is a publicly funded and managed library.
Georgetown Public Library,Public,"Georgetown, DE",https://librarytechnology.org/library/12247,123 West Pine Street,,Georgetown,Delaware,19947,Delaware,302-856-7958,https://georgetown.lib.de.us,http://ilsapp.lib.de.us/uhtbin/cgisirsi/x/x/0/49/,Elaine Fike,Publicly funded and managed,"15,407 residents","26,044 volumes","60,094 transactions",Symphony (2005),Dynix (until 1997),Delaware Library Catalog,,,DE0003,DE0003-002,12247,09-Dec-04,25-Mar-23,,https://librarytechnology.org/libraries/public.pl?State=Delaware,Delaware,https://librarytechnology.org/library/12247,United States,"Georgetown Public Libraryis aPubliclibrary.This library is affiliated with the library system that servesGeorgetown, DE.  
The collection of the library contains26,044volumes. The library circulates60,094items per year. The library serves a population of15,407residents .","This listing was created on Dec 9, 2004 and was last modified on Mar 25, 2023.",This is a publicly funded and managed library.
Kent County Public Library,Public,Kent County DE Public Library,https://librarytechnology.org/library/15976,497 South Red Haven Lane,,Dover,Delaware,19901,Kent,302-744-1919,https://www.co.kent.de.us,http://ilsapp.lib.de.us/uhtbin/cgisirsi/x/x/0/49/,,Publicly funded and managed,"55,225 residents","50,119 volumes","215,441 transactions",Symphony (2005),Dynix (until 1994),Delaware Library Catalog,KND,52795,DE0032,DE0032-004,15976,06-Oct-05,10-Apr-25,,https://librarytechnology.org/libraries/public.pl?State=Delaware,Delaware,https://librarytechnology.org/library/15976,United States,"Kent County Public Libraryis aPubliclibrary.This library is affiliated withKent County DE Public Library(view map)
.  
The collection of the library contains50,119volumes. The library circulates215,441items per year. The library serves a population of55,225residents .","This listing was created on Oct 6, 2005 and was last modified on Apr 10, 2025.",This is a publicly funded and managed library.
